text,label
@honigan13 @idextratime iya gpp ini hanya opini kan seneng aja lihat permainan @TimnasIndonesia kemarin sore walaupun kalah semoga next bisa menang yah,positif
@NurAida2609 @idextratime yah opini boleh berbeda beda kan yamg jelas keren banget lihat permainan @TimnasIndonesia kemarin sore semoga next bisa menang yah,positif
@NurAida2609 @idextratime opini boleh berbeda kan saya lihat dan seneng banget lihat permainan @TimnasIndonesia kemarin sore. semoga next bisa menang yah...,positif
@StatsRawon Awakku sampek nyabe kabeh merinding poooollll Cak Won. Alhamdulillah. Congratulations @TimnasIndonesia ! Ã°Å¸â€¡Â²Ã°Å¸â€¡Â¨ #TimnasDay #KitaGaruda #GarudaMendunia,positif
@iamyopiprayoga @idextratime semoga next bisa menang yah saya cuma seneng aja lihat permainan @TimnasIndonesia kemarin sore sekeren itu sih .,positif
@sickstreet29 @idextratime opini orang boleh berbeda kan saya seneng aja lihat @TimnasIndonesia bermain kemarin sore walaupun kalah semoga next bisa menang yah..,positif
@Buzz14Buzz @syahz_01 @kaoskakipedri Untuk saat ini fokus ngece @TimnasIndonesia karo sirkele @CoachJustinL mas pemain biar fokus di lapangan Patrik gathel.,positif
@bimosalsabilo opini orang boleh donk berbeda beda semoga next bisa menang yah di putaran ke 3 ini dan lolos putaran 4 peringkat ke 3 atau 4 saya jelas seneng lihat @TimnasIndonesia bermain kemarin sore,positif
@RuudBukanGullit @idextratime opini boleh berbeda kan yang kelas lihat @TimnasIndonesia sekeren itu bermain kemarin sore walaupun kalah semoga next bisa menang yah,positif
@aprstyzxc @idextratime No opini boleh berbeda kan yang jelas lihat @TimnasIndonesia main sekeren itu walaupun kalah semoga next bisa menang yah,positif
@ElianoReijnders @TimnasIndonesia Berjuanglah dan terus semangat Eli kami bersama mu ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â®ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â©,positif
Bek yang sangat bagus jangan diganggu gugat @PSSI @TimnasIndonesia,positif
Jay Idzes Rizky Ridho Hubner Marselino love u ALHAMDULILLAH YA ALLAH 3 point #TimnasDay #TimnasIndonesia,positif
@TimnasIndonesia gokil gokil,positif
@TimnasIndonesia Nafas lega sampe lebaran,positif
Alhamdulillah wes lurd bangga bangga #TimnasIndonesia,positif
@Persija_Jkt @TimnasIndonesia Keren parah ridho roma,positif
mantap #TimnasIndonesia ,positif
@necnijmegen @TimnasIndonesia verdonk ni keren banget min,positif
@TimnasIndonesia Selamat. Banyak potensi yang harus diasah oleh tim kepelatihan. Jadi modal dipertandingan berikutnya. Pergantian pemain yang bagus,positif
@fsdinooo @galeri_futsal @hecsouto @TimnasIndonesia Oalah tapi ya baguslah langsung grecep diganti setidaknya FFI sedikit lebih baik dari induknya si PSSI krn mrk akhirnya SADAR DIRI ,positif
Nasi udah jadi bubur Kluivert udah dipilih Dukung apapun yg terjadi berharap membaik dan kesempatan lolos Piala dunia masih luas Yuk bisa @TimnasIndonesia Aamiin-kan yang terbaik ,positif
@TimnasIndonesia Jelek Hilgers.... Bagus bek Hubner. Ridho. Jay wae,positif
@TimnasIndonesia Duetkan dengan Eliano dia uga layak jadi starter ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¼ÃƒÂ¯Ã‚Â¸Ã‚Â,positif
@TimnasIndonesia Gantengku,positif
@TimnasIndonesia Peluang emas sia2 merceng dan eliano Ã¢â‚¬Â¼Ã¯Â¸Â,positif
Alhamdulillah @TimnasIndonesia ,positif
@TimnasIndonesia gini kan oke browww,positif
@TimnasIndonesia Knp nge shoot nya pas muka ole begitu min? wkwk Anywayy congratss,positif
@ElianoReijnders @TimnasIndonesia Mainnya sudah bagus. Udah ngasih keypass ke Kevin Diks. Ditunggu kontribusi assist atau gol-nya di pertandingan melawan Bahrain ,positif
@TimnasIndonesia Tetap semangat TIMNAS Terima kasih sudah berjuang dgn gigih Hasil di Sidney bukan kesalahan kalian,positif
@TimnasIndonesia Nambah 3 pemain naturalisasi malah kena bantai. Wkwkwkwk lucu ,positif
@naufaltaufiq15 @TimnasIndonesia Terlihat terdiam selama 90 menit karena nunggu gol ke 6 Aussie supaya semakin aman buat tembus. High line defence pemilihan line up yang berbeda dari pendahulunya adalah upaya supaya menang.... Taruhannya,positif
@TimnasIndonesia Ini baru tukang foto keren.,positif
@TimnasIndonesia kita jadikan pertandingan australia sebagai bahan evaluasi untuk pemain dan seluruh staff timnas sekarang kita fokus untuk mendukung timnas melawan bahrain,positif
@firzieidris @TimnasIndonesia gestur pemain ngga bisa bohong.,positif
@TimnasIndonesia Berkembanglah dan terus berkembang.,positif
@pangeransiahaan Terakhir kali gw seneng liat tim bola dgn skor 5-1 itu El clasico sih. @TimnasIndonesia indo berasa @FCBarcelona ?,positif
@TimnasIndonesia Sampai ketemu pekan depan min,positif
@Persija_Jkt @TimnasIndonesia Sang penyelamat malam ini bersama rekan yang lain,positif
@TimnasIndonesia Untung timnas punya ole,positif
@TimnasIndonesia Akhirnya kita punya seorang striker.,positif
masi ada asa congrats buat timnas,positif
KEREN ULTRAS GARUDA!!!! ,positif
Pake acara nabrak bilboard lagi karena terlalu seneng untung gak cedera #TimnasIndonesia #TimnasDay,positif
@yhi2e @Kiev_anka @TimnasIndonesia Nyenyak y broku ,positif
@TimnasIndonesia nomer 10 punya ole pokoknya,positif
Tamparan keras dari Kambuaya buat pemain Eropa macam Reijnerds Nathan Shane Hilgerss dll #TimnasIndonesia #Timnas,positif
@Persija_Jkt @TimnasIndonesia terima kasih 3 poin nya,positif
@Riaria077191861 @teddypradana @TimnasIndonesia Wkwkwkkwk lucu dikasih fakta malah marah2 sendiri gajelas,positif
Terimakasih telah menjaga harapan bangsa ini lolos ke piala dunia! Ã°Å¸â€¡Â®Ã°Å¸â€¡Â©,positif
Apresiasi perjuangan seluruh pemain beserta pelatih dan staff. Terima kasih atas perjuangan nya @TimnasIndonesia Ã°Å¸â€¡Â®Ã°Å¸â€¡Â© See you in June!,positif
@TimnasIndonesia Tuntas. Peluang bertahan di QC3 kembali terbuka menuju persaingan di QC4. Selamat,positif
@TimnasIndonesia keren rizky ridho,positif
@Persija_Jkt @TimnasIndonesia Ridhokuu sayang,positif
Angin seger banget timnas indo menang diantara berita yang kocaknya naudzubillah. Tengs for tudei ol #TimnasDay #TimnasIndonesia #timnasvsbahrain,positif
Garuda menjaga asa menuju Piala Dunia,positif
mode pesimis adalah koentji GREAT JOB GARUDAÃ¯Â¸ÂÃ¢â‚¬ÂÃ¯Â¸ÂÃ¢â‚¬ÂÃ¯Â¸ÂÃ¢â‚¬Â,positif
@TimnasIndonesia Keren!!,positif
@ElianoReijnders @TimnasIndonesia Semangat mas,positif
@TimnasIndonesia Karma berjalan...,positif
@OUFCOfficial @TimnasIndonesia @PSSI Terimakasih sudah menjaga pemain Ã°Å¸â€¡Â®Ã°Å¸â€¡Â© Salam hormat untuk semua yang disana dari kami di Indonesia,positif
@TimnasIndonesia congratssss garudaku,positif
@Persija_Jkt @TimnasIndonesia Luarrrrrr biasaaaaaa,positif
@TimnasIndonesia Akhirnya bisa sahur dengan tenang. Terimakasih kasih banyak Timnas Garuda ,positif
Patut diapresiasi Alhamdulillah. Pakem permainan tadi paling cocok dengan timnas kalaupun ada yang perlu dikoreksi mungkin finisihingnya yang masih bapuk beberapa peluang harusnya bisa dikonversi jadi goal. Terbang tinggi Garuda asa itu masih ada.,positif
@Persija_Jkt @TimnasIndonesia rizky ridho jago banget ,positif
@TimnasIndonesia Mass ole lebaranku jadi happy ,positif
@TimnasIndonesia ini yg kamu(patrick) perlu lanjutkan saja filosofi yg ada di timnas kalian tinggal tempatkan pemain yg sesuai dengan keinginan kalian segera pulihkan memori kami dengan progres dan hasil positip untuk timnas Indonesia.,positif
@TimnasIndonesia Diluar dari ole yg cetak gol Ridho lebih pantes sih Man Of The Match,positif
@TimnasIndonesia Yes menang 1-0 ole.ole ole indonesia indonesia,positif
@dodojogja2 @JamalBoegis @TimnasIndonesia ku bantu tertawa lepas lega sesuai prediksi pribadi,positif
@pakar_toefl @TimnasIndonesia Semangat terus pastinya!! ,positif
@ElianoReijnders @TimnasIndonesia Aamiin Yaa Allah ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â®ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â©,positif
@TimnasIndonesia Pala bapak kau thanks,positif
@agynoona @TimnasIndonesia Bahagia besok mau beli makanan dikantorÃ¯Â¸Â,positif
@OUFCOfficial @TimnasIndonesia @PSSI Besok pas latihan coba di Duwet kan. Wess tala enak enak pemain ku,positif
Diluar dugaan justru yg outstanding Ridho Hubner dan Kambuaya. Tapi kalian semua top @TimnasIndonesia ,positif
@TimnasIndonesia sampein apresiasikuu buatt blioo minnn kaka rizky kerenn Ã¯Â¸Â,positif
@TimnasIndonesia Sholat ied juga full senyum. ,positif
@AqiaqiH Menyala #TimnasIndonesia Lanjutkan trend positif #TimnasDay,positif
@TimnasIndonesia Peluang besar indo Round 4 yasudalah it's ok,positif
@TimnasIndonesia Min nitip salam ke pemain terima kasih twlah menyelamatkan mood lebaran,positif
Malam yang lebih baik daripada seribu Bahrain #TimnasIndonesia,positif
Malam ini adalah pertunjukan taktik yg selaras dengan ketersediaan &amp; tipe pemain. Sabar dalam defense untuk mengincar quick counter mungkin adalah identitas skuad ini. Trio CB solid Pelupessy membebaskan Haye untuk berkreasi Ole &amp; Lino bahaya dalam transisi. #TimnasIndonesia,positif
@TimnasIndonesia lekas sembuh kakaaa,positif
@TimnasIndonesia Alhamdulillaah ya min Selamat mudik dengan cengar cengir,positif
@TimnasIndonesia Sayang banyak2 buat kaka Ricky dkk ,positif
Dan china it's a must win game. Dan berharap bisa seri lawan jepang. Game masih ada dan lawan lain juga akan saling bunuh...skrg nasib di tangan kita sendiri. Tetap percaya pada @TimnasIndonesia dan @PSSI,positif
@ElianoReijnders @TimnasIndonesia Semangat Bang!,positif
@zennaRa_ @ElianoReijnders @TimnasIndonesia RILLL KAKKKK malah klop banget dia bikin bola ngalir sampe ole bisa golin kan bahkan dapet shoot on target loh,positif
@TimnasIndonesia Masih ada peluang ke Pildun 26. Tetap full support Garuda ÃƒÂ¯Ã‚Â¸Ã‚ÂÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â®ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â©,positif
WELL PLAYED PERMAINAN ENAK DITONTON SAYANG MINUS FINISHING 2 PELUANG EMAS KALIAN KEREN,positif
@Persija_Jkt @TimnasIndonesia keren banget lu bang,positif
@TimnasIndonesia Atur nafas lebaran kita nyengir,positif
@TimnasIndonesia Alhamdulillah min ,positif
@TimnasIndonesia Hadirin jemaah sholat ied yang berbahagia,positif
@uruncangkem @ift1945 @TimnasIndonesia mantap,positif
@TimnasIndonesia Tolong sampaikan kaka Ricky tenang aja ada ka kev yang pijitin . Kaka Ricky keren sekaliii,positif
@TimnasIndonesia Terima kasih pak Erick ketua PSSI terbaik,positif
@TimnasIndonesia makasih THR nya bang ole,positif
@FebriCules89764 @TimnasIndonesia Mantab bang! Puas yg baca ,positif
@zzzraraa @TimnasIndonesia LUCU BANGET FAK,positif
Still far away to put indonesia on the map huh ? @PSSI @TimnasIndonesia Gelap2 kayak negaranya at least gua masih percaya lah bisa lolos round 4 tapi kalo gak lolos juga kelar dah mending bubar aje pak makanya Jan fokus timnas Mulu liga and grassroot benahin cepet2 #TimnasDay,positif
@ElianoReijnders @TimnasIndonesia u did great Eli semangat papa dino,positif
@TimnasIndonesia Sampein salam kami buat kaka Ricky min. Keren sekaliii malam ini terbaikkkk. ,positif
@TimnasIndonesia Bismillah pildun min ,positif
@TimnasIndonesia Ole sangat layak mendapatkanya disamping itu ridho juga layak Ã°Å¸â€¡Â®Ã°Å¸â€¡Â©,positif
@Persija_Jkt @TimnasIndonesia keren bgttttt cokk hbs di gotong karena cedera langsung balik ke lapagan lagiii,positif
@Muhammadafif_10 @txtdrjkt @TimnasIndonesia @FIFAWorldCup Timnas Indonesia (rank 76 dunia) punya peluang lolos Piala Dunia 2026 tapi sulit. AFC dapat 8 slot langsung + 1 play-off dari 47 tim. Indonesia harus masuk 2 besar grup di ronde 2 lalu ronde 3 atau ke ronde 4. Performa akhir-akhir ini bagus (menang 12-0 vs Brunei) tapi,positif
@TimnasIndonesia akhirnya rusdy dapet bajunya,positif
@detiksport 6. Terakhir. Ayolah @TimnasIndonesia lupakan yg udah lewat. Biar jadi sejarah aja. Belajar dari kesalahan dan ayo masih ada 3 laga. 2 laga vs Bahrain dan China bisa lah kita menang krn main kandang. Manfaatkan momen ini. Come on guys !!,positif
@TimnasIndonesia Mang ole mainnya bagusss banget ,positif
@ElianoReijnders @TimnasIndonesia elii lu keren bgt malam ini knapa ga jadi starter aja sihh,positif
@prabowo pak presidenku pak @prabowo tolong kembalikan pelatih Sin Tae Yong untuk #TimnasIndonesia kalo bisa panggil pak @erickthohir . Satu satunya olahraga yg menyatukan seluruh rakyat Indonesia menjadi kacau balau karena beliau.. please your magic pak ,positif
TIMNAS INDONESIA pernah punya PELATIH dari LUAR NEGERI yang berhasil menumbangkan NEGARANYA SENDIRI. #KluivertOut #TimnasIndonesia,positif
@ElianoReijnders @TimnasIndonesia Semangat eliii,positif
@kamar_agung @TimnasIndonesia Ya baguslah walaupun uji coba dan hasilnya baik ini akan jadi modal bagus untuk kedepannya lanjutkan coach nova,positif
@LaGrandeIndo @TimnasIndonesia @PatrickKluivert Top la grande.....ini baru fans sejati...,positif
@TimnasIndonesia senyum sampe 5 hari kedepan,positif
Alhamdulillah 3 pointsÃ°Å¸â€¡Â®Ã°Å¸â€¡Â© #TimnasIndonesia #timnasvsbahrain #TimnasDay,positif
Terima kasi Kluivert Terima kasih @TimnasIndonesia 3 point yang sangat berharga GAZZ TEROZZZZ,positif
Asikk menanggg Selamatt negeriku tercinta,positif
@TimnasIndonesia Alhamdulillah bisa menyambut idul fitri dengan full senyum... terima kasih ,positif
Timnas menang hatipun senang #TimnasIndonesia,positif
@fdlsaan @TimnasIndonesia SETUJU! UP!!!,positif
Menang juga akhirnya #timnasvsbahrain #TimnasIndonesia #TimnasDay,positif
Alhamdulillah #TimnasIndonesia Sukses mempersembahkan 3 poin #TimnasDay,positif
3 bek terbaik: Rizky Ridho Jay Idzes Justin Hubner Duet Haye-Palupesy solid. Balance bertahan dan menyerang. Umpan long ball dan terobosannya ciamik Romeny jawaban lini depan. Sayang sekali marselino gagal cetak gol. Ricky kambuaya is Baller #TimnasIndonesia,positif
Ole emang layak jadi motm (klinis cepet jago duel) Hubner is the best choice untuk posisi lcb saat ini Pelupessy dan Kambuaya bisa jadi angin segar di posisi tengah Duet Ridho-Idzes harus terus dipertahankan Untuk saat ini timnas lebih cocok main dengan skema 3 bek,positif
@TimnasIndonesia ciee ga jadi dihujat selamat yaa,positif
Akhirnya bisa mudik dengan tenang #TimnasIndonesia #TimnasDay,positif
@Persija_Jkt @TimnasIndonesia Bangga banget nget nget nget,positif
@TimnasIndonesia Makasi ya Timnas setelah belakangan ini muak dengerin berita2 bangke dari pemerintah.,positif
@TimnasIndonesia Alhamdulillah kaka Ricky keren bangettttttttt pokoknya,positif
@TimnasIndonesia Finally menyala ,positif
@TimnasIndonesia Alhamdulillah... Tolong ucapin terima kasih kepada seluruh pemain dan staf terimakasih sudah berjuang menang pd pertandingan kali ini... Terharu Mood lebaran bagus ini mahhh,positif
Selamat utk kemenangannya #TimnasIndonesia,positif
@TimnasIndonesia Bismillah semoga bisa masuk pildun,positif
@TimnasIndonesia Kakak Ricky keren banget tolong bilangin suruh periksa yang bener itu kepalanya itu yaaa ,positif
Makasih u/ semua pemain Timnas udah kasih THR yg paling manis lebaran nanti Makasih u semua suporter timnas yg nonton langsung di GBK luar biasa !!! Bang Joey Palupesi mencuri perhatian di debutnya bela negara Indonesia ....Indonesia ... #Timnas #TimnasIndonesia,positif
Ya Allah ijinkan Tim ini main di Piala Dunia 2026 ,positif
Gila ini koreanya keren bgt sih Ã¯Â¸ÂÃ¢â‚¬Â,positif
@TimnasIndonesia Sehat sehat Kaka Ricky ,positif
@TimnasIndonesia Oleee Ã¢â‚¬Â Finishing selalu josss ,positif
@necnijmegen @TimnasIndonesia GOAT! LCB Indonesia,positif
@TimnasIndonesia get well soon kaka ricky puyeng bgt itu pasti,positif
@TimnasIndonesia Cakep ini vidionya. Editor dan photographer bawaan kevin diks kah?,positif
@TimnasIndonesia kambuaya cantik bgt tadi mainnya,positif
@jerryarvino @OUFCOfficial @Marcenggg10 @Oleromeny77 @TimnasIndonesia @Box2BoxBola @TekelBebas 3-4-3 emang cocok buat Timnas Indonesia,positif
@TimnasIndonesia Songgo jangguddddddd!!,positif
@TimnasIndonesia Keren Kambuaya min,positif
Ole Joel Ridho Jay dan Hubner kalian luar biasa malam ini. Terima Kasih utk semua pemain sudah memberikan yg terbaik malam ini. #3point #TimnasIndonesia Ã°Å¸â€¡Â®Ã°Å¸â€¡Â©,positif
@TimnasIndonesia full senyum min ,positif
@TimnasIndonesia Hari PK belajar dari pengalaman starting 11 oke banget...,positif
@TimnasIndonesia selamat ya dik,positif
@TimnasIndonesia cuma jersey tok Min? alangkah indah dan bahagia Kenneth kalo dikasihnya Jersey + ttd + foto bareng @marcengggg .. mestinya dia bisa dpt jersey yg nilai sejarahnya jauh lebih tinggi kan? tapii malah di rampas OTK come on u can di better,positif
@TimnasIndonesia Gak mau nyalahin Marcelino maupun Eliano..keduanya bagus..meski kurang beruntung..yang pentinv Indonesia menang..Terima kasih Timnas atas 3 poin nya lawan Bahrain Ubur ubur Ikan lele Sido Bodoo Leee,positif
@TimnasIndonesia Alhamdulillah. Dia main bagus,positif
@TimnasIndonesia Hadirin jamaah salat ied fitr yang berbahagia #TimnasDay,positif
Makasih THRnya @TimnasIndonesia,positif
@TimnasIndonesia Bangga,positif
@necnijmegen @TimnasIndonesia Verdonk keren selalu Ã¢â‚¬Â,positif
Satu kata buat timnas Indonesia malam ini...SPARTAN!!! #TimnasIndonesia #timnasvsbahrain #Timnas #MarselinoFerdinan,positif
@rakjarmelawan Betul tertip tenang cara ngalirin bola juga baguss thebest pokoknya #JoyPelupessy #TimnasIndonesia,positif
Alhamdulillah misi bales dendam ke Bahrain berhasilÃ¯Â¸Â #TimnasIndonesia #TimnasDay,positif
@filosofyan_ @TimnasIndonesia Deg2an hahahaa! alhamdulillah menang ,positif
@OUFCOfficial @TimnasIndonesia @PSSI cakep banget cik,positif
@TimnasIndonesia lucuuw,positif
@TimnasIndonesia Keren!,positif
@TimnasIndonesia Lucu bgt Kenneth!!!!,positif
@TimnasIndonesia makasih ya udah ngasih angin segar ke timeline walaupun diatas kenyaris punahan bhinneka tunggal ika ini,positif
@TuanTakur_25 @TimnasIndonesia Saluuttt..semangatsz! Salam buat Pelukis nya...,positif
@TimnasIndonesia wajah bahagia nya nenangin banget happy selalu ya kennethÃƒÂ¯Ã‚Â¸Ã‚Â,positif
@TimnasIndonesia Siip min makasih ya min ,positif
Untuk bapak nya Kenneth sopan dan santun dalam berbahasa. Keren ini video. dan MOHON BANGET BLACKLIST SI PENCURI JERSEY NYA MILIK MARSELINO min. Baik email nomor HP. Kan muka sudah terdaftar toh dan terdata.,positif
@TimnasIndonesia Sehat sehat kakak ricky terima kasih hari ini Ã¯Â¸Â,positif
@TimnasIndonesia Keren keren keren semuanya keren ,positif
Ã¯Â¸ÂRIDHO / BANG JAY / EL PREMANÃ¯Â¸Â Duet lini belakang mereka sejauh ini masih jadi yang terbaik.. ,positif
@TimnasIndonesia Mantep asli ini jp kalem tapi dimana mana. Backup oke passing oke minta bola terus bikin tengah jadi hidup,positif
Obrolan penggila sepakbola di WAG Gw : DI KASIH MENANG LAWAN JEPANG BIAR ARAB SAUDI OUT Jawaban kakak pertama @Andiarief__ KALAU JEPANG NGALAH KITA ANGGEP GAK PERNAH MENJAJAH This is only football but I like it #dapse #TimnasIndonesia,positif
@ID_Albiceleste @TimnasIndonesia Sepanjang sejarah nonton Timnas Indonesia dari era Bejo Sugiantoro Nur Alim Aples Eko Purjianto Maman dan Fachrudin. Kombinasi trio ini yg terbaik.,positif
@TimnasIndonesia Selamat King Indo Alhamdulillah masih pertahankan posisi ke 4,positif
we proud all of you guys.. you deserve it. terima kasih coach alex sudah bermain dengan pakem timnas selama ini. alhamdulillah mood lebaran aman ,positif
@TimnasIndonesia alhamdulillah russel udah dapet baju MF7 ÃƒÂ¢Ã¢â€šÂ¬Ã‚ÂÃƒÂ¯Ã‚Â¸Ã‚Â,positif
@TimnasIndonesia Terima masih telah membuat adik itu hepi Buat yg nyolong ajggg kau,positif
@ndrypd @TimnasIndonesia Ya pasti bisa lah,positif
Saya kok malah optimis kita bisa mencuri peringkat kedua Grup C Kualifikasi Ronde Ketiga Piala Dunia 2026 ya #WorldCup2026 #TimnasDay #TimnasIndonesia,positif
Russel!!! Dicariin Mr Fredikson mirip bener si bocah hehehe,positif
@AkunGua @An_gene7 @TimnasIndonesia hattrick bang lewa kala itu ,positif
@TimnasIndonesia Skill mumpuni dari debut sampai 2 kali main selalu cetak gol,positif
@ID_Albiceleste @TimnasIndonesia Jimatnya ada dimereka bertiga. Paes nyaman gawang aman.,positif
@TimnasIndonesia Kaka Ricky kereeen lekas membaik,positif
salam hormat dan angkat topi untuk Pelupessy DMF solid bikin nyaman depan bikin aman belakang respect kurang tersorot ketutup ridho dibelakang + ole di depan. tapi solid bener! #Timnas #TimnasIndonesia,positif
@Lotusbening @TimnasIndonesia Gokil ya ka,positif
@necnijmegen @TimnasIndonesia Verdonk sejauh ini selalu konsisten full time.,positif
@TimnasIndonesia terima kasih banyak pejuang lini belakang! Ã¯Â¸Â,positif
Bisa tdr nyenyak mlm ini... Bravo #TimnasIndonesia ,positif
@TimnasIndonesia Debutmu menyala bang ,positif
@TuanTakur_25 @TimnasIndonesia bagus bingiittssz...seniman sejati. ,positif
Alhamdulillah hari ini Tweet pada adem. Suwun @TimnasIndonesia ,positif
@TimnasIndonesia Seneng liat adeknyaa,positif
@TimnasIndonesia Mantapppl,positif
@TimnasIndonesia GEMEEEESSSSS ADIK,positif
@TimnasIndonesia Senangnya.... semangat dik,positif
@TimnasIndonesia Keren,positif
@TimnasIndonesia HAI GANTENGGG MAINNYA BAGUS BGT SIH,positif
@necnijmegen @TimnasIndonesia Belalang jangkrike menang,positif
@TimnasIndonesia Terimakasih untuk kerja kerasnya ridho ,positif
ni orang mainnya bagus banget setenang itu.,positif
@TimnasIndonesia Terima kasih selalu untuk el capitano ,positif
@TimnasIndonesia Apakah bung towel mengakui kemenangan ini? Kita bermain pragmatis lohhh,positif
@TimnasIndonesia bang JP penyeimbang lini tengah klop sama tom haye.. ,positif
@TimnasIndonesia semogaa gaada cidera dan sehat selaluu,positif
Terimakasih @TimnasIndonesia @PSSI sudah memberikan 3 point dikandang... Tetap jaga asa untuk Piala Dunia 2026...,positif
Sebenarnya kita bisa menang 3-0 kalau Marselino &amp; Eliano berhasil memanfaatkan peluang but we'll take the W &amp; 3 points! #TimnasDay #TimnasIndonesia,positif
@TimnasIndonesia selalu keren mas ,positif
Indonesia WIN 1 - 0 vs Bahrain @Oleromeny77 #GarudaMendunia #IndonesiavsBahrain,positif
menang nih congrats timnas #TimnasIndonesia,positif
@TimnasIndonesia Mantap bener ini Dek Ruslan akhirnya dapat kaosnya.,positif
@TimnasIndonesia mantap rusdi akhirnya dapet baju marceng ,positif
@littleuncle01 @TimnasIndonesia Ide cemerlang tuh,positif
@Persija_Jkt @TimnasIndonesia asli bangga bgt sama Ridho,positif
Bangga banget punya Ole di timnas ,positif
@TimnasIndonesia keren ridhoo menyala Ã¯Â¸ÂÃ¢â‚¬Â,positif
@afcasiancup Kasih laaah jersey baru sama-sama Tim Nasional lhooo @TimnasIndonesia,positif
trio idzes hubner ridho solid parahh. Apalagi Ridho njir kelas bgt.,positif
@Persija_Jkt @TimnasIndonesia Keren Rizky ridho.,positif
@TimnasIndonesia yappp saatnya jumawa bro! ,positif
yg penting Indonesia malem ini menang ,positif
Main cantik dan menang. Alhamdulillah menang @TimnasIndonesia ku ya Allah. Kereeennnnnnn,positif
@TimnasIndonesia Alhamdulillah asli gw bangga bngt pas liat Kaka Ricky akhirnya di main in Makin bangga pas lini depannya ada 2 pemain liga 1 kaya wahhh indo udh gak kekurangan apa2 nihh tinggal fokus aja ke turnamen,positif
